"Year","AFG","ALB","DZA","AND","AGO","AIA","ATA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","KHM","CAN","CPV","CYM","CAF","TCD","CHL","CHN","CXR","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","CSK","PRK","COD","VDR","DNK","DJI","DMA","DOM","East & West Pakistan","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FRO","FLK","DEW","FSM","Federation of Malaya-Singapore","FJI","FIN","YMD","DDR","PCZ","FORMER YEMEN","FRA","French Equatorial Africa","GUF","French Indo-China","PYF","French West Africa","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GTM","GIN","GNB","GUY","HTI","HND","HKG","HUN","ISL","IND","IDN","IRQ","IRL","IRN","ISR","ITA","JAM","JPN","Japan (Excluding The Ruyuku Islands)","JOR","KAZ","KEN","KIR","KSV","KWT","Kuwaiti Oil Fires","KGZ","LAO","LVA","LBN","Leeward Islands","LSO","LBR","LBY","LIE","LTU","LUX","MAC","MKD","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MEX","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","ANT","Netherland Antilles and Aruba","NLD","NCL","NZL","NIC","NER","NGA","NIU","NOR","PSE","OMN","Pacific Islands (Palau)","PAK","PLW","PAN","PNG","PRY","Peninsular Malaysia","PER","PHL","BOL","POL","PRT","PRI","QAT","CMR","KOR","MDA","SSD","Republic of South Vietnam","REPUBLIC OF SUDAN","REU","Rhodesia-Nyasaland","ROU","RUS","RWA","Rwanda-Urundi","Ryukyu Islands","Sabah","SHN","LCA","SXM","WSM","STP","Sarawak","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","KNA","KNA","SPM","VCT","SUDAN","SUR","SWZ","SWE","CHE","SYR","TWN","TJK","Tanganyika","THA","TLS","TGO","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","United Korea","TZA","USA","URY","SUN","UZB","VUT","VEN","VNM","WLF","YEMEN","YUG","SCG","ZMB","Zanzibar","ZWE"
1925,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,0,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,446.075000,,,0,,,,,,,0,,,,,,,,,,,,27866,,,,,0,,,,,,,,0
1926,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,,0,0,,,0,,,,,,,,,,471.210000,,,0,,,,,,,0,,,,,,,,,,,,28420,,,,,0,,,,,,,,0
1927,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,0,,269.423000,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,,0,0,,,0,,,,,,,,,,496.300000,,,0,,,,,,,0,,,,,,,,,,,,29903,,,,,0,,,,,,,,0
1928,,,51.467896,,,,,,235.281811,7.367851,0,764.665886,522.121788,14.872143,,,,0,42.704455,3044.084804,,,,0,0,17.842886,,88.230679,,,110.288349,,,,1757.261026,,,,,110.398969,95.572971,,0,,,,,,783.737497,,0,,0,,0,44.115340,,779.370999,,,,,0,88.604538,,,,11.188218,,,,,,,,279.397151,,,,,4242.425155,,,,,,,,9.280253,7712.831868,,,147.051132,,,,,,,,,,,426.448283,,566.146858,0,0,0,0,,3073.368657,,3838.034543,,,118.704262,,,,,,20.466252,,7.367851,,,,,,,27.829495,,,70.858700,,,0,,,,,,,,213.224141,,0,,58.820453,14.705113,0,,,,,,0,,205.711746,,,0,,317.717000,,,,,,,,,,51.432860,66.173009,0,1095.530933,73.525566,,,,0,13.439313,,,,,,330.931406,1186.924541,,,,,,,0,,,,,,267.289320,,,,0,148.454257,,,0,1544.036885,,,,,,,,,467.991000,632.319867,,0,7.367851,,,,,,0,,58.820453,20.468589,,,,306.904856,,4396.828844,,,30445,,1904.312158,109.426228,,0,161.756245,,,,,,,0
1929,,,56.263042,,,,,,352.922717,9.113445,0,720.550546,580.763950,18.395658,,,,0,52.822013,3249.830015,,,,0,0,0,,95.583236,,,154.403688,,,,1948.355416,,,,,146.917083,183.813915,,0,,,,,,0,,0,,0,,0,58.820453,,801.428669,,,,,0,176.461358,,,,13.838935,,,,,,,,279.397151,,,,,5786.462040,,,,,,,,11.478935,7205.505463,,,154.403688,,,,,,,,,,,404.390613,,573.499414,147.051132,0,0,0,,3499.816939,,4271.835382,,,146.827727,,,,,,25.315125,,9.113445,,,,,,,34.422871,,,0,,,0,,,,,,,,227.929254,,0,,66.173009,22.057670,0,,,,,,213.205212,,198.519028,,,0,,319.254000,,,,,,,,,,51.441284,77.610320,0,1007.300254,88.230679,,,,0,16.329056,,,,,,316.159934,1471.977555,,,,,,,0,,,,,,0,,,,0,0,,,360.275273,1823.434036,,,,,,,,,569.898000,691.140320,,0,9.113445,,,,,,0,,66.173009,25.318016,,,,388.105459,,4764.456674,,,29481,,2367.523224,135.351537,,0,183.813915,,,,,,,0
1930,,,66.173009,,,,,,382.332943,11.790290,0,705.845433,602.909641,23.798919,,,,0,68.337148,3051.191655,,,,0,0,0,,88.172093,,,176.461358,,,,1874.829128,,,,,161.602484,176.461358,,0,,,,,,0,,0,,792.271671,,0,66.173009,,779.370999,,,,,0,300.378196,,,,17.903774,,,,,,,,205.587232,,,,,4992.385928,,,,,,,,14.850583,5668.821135,,,176.688172,,,,,,,,,,,330.865047,,573.499414,139.726883,0,0,0,80.878123,3485.111826,,3749.803863,,,189.954673,,,,,,32.750806,,11.790290,,,,,,,44.533723,,,0,,,0,,,,,,,,0,,0,,73.525566,22.057670,0,,,,,,220.576698,,191.166471,,,0,,321.482000,,,,,,,,,,22.057670,102.935792,0,830.838895,95.664307,,,,0,20.154876,,,,,,397.038056,1924.868895,,,,,,,0,,,,,,0,,,,447.315639,0,,,0,1837.854343,,,,,,,,,611.198000,787.025213,,0,11.790290,,,,,,0,,58.820453,32.754545,,,,537.097544,,5109.984387,,,27798,,3117.483996,175.107641,,0,169.108802,,,,,,,0
1931,,,76.353472,,,,,,536.736631,12.620643,0,397.038056,301.454820,25.475002,,,,0,73.149918,2463.213733,,,,0,0,19.631197,,169.108802,,,102.935792,,,,1617.562451,,,,,102.935792,235.281811,,0,,,,,,876.322598,,0,,792.144009,,0,44.115340,,507.326405,,,,,0,242.634368,,,,19.164680,,,,,,,,161.756245,,,,,4904.155249,,,,,,,,15.896463,3837.998073,,,198.519028,,,,,,,,,,,294.198596,,588.204528,132.317323,0,0,0,80.878123,3073.368657,,3617.287748,,,203.332583,,,,,,35.057342,,12.620643,7.352557,,,,,,47.670093,,,78.214802,,,0,,,,,,,,0,,0,,153.178262,22.057670,0,,,,,,198.535209,,154.270352,,,0,,220.173000,,,,,,,,,,29.410226,95.583236,0,544.089188,95.583236,,,,0,21.550310,,,,,,198.547171,2060.295852,,,,,,,0,,,,,,292.831544,,,,447.793973,164.276020,,,0,1632.267564,,,,,,,,,517.592000,852.896565,7.352557,0,12.620643,,58.820453,,,,0,,102.840127,35.061344,,,,576.105257,,5984.981068,,,21604,,3338.060694,187.439921,,0,154.403688,,,,,,,0
1932,,,88.230679,,,,,,499.973848,13.303090,0,249.986924,352.922717,26.852533,,,,0,77.105415,2102.831186,,,,0,0,14.689566,,147.051132,,,139.698575,,,,735.294032,,,,,110.288349,191.166471,,0,,,,,,607.355094,,0,,714.381317,,0,14.705113,,411.855545,,,,,0,242.634368,,,,20.200988,,,,,,,,154.216759,,,,,5029.052638,,,,,,,,16.756046,2889.554742,,,198.519028,,,,,,,,,,,198.519028,,595.557084,80.878123,0,0,0,102.935792,3124.836553,,3727.746194,,,214.327556,,,,,,36.953027,,13.303090,22.057670,,,,,,50.247797,,,57.950867,,,0,,,,,,,,0,,0,,220.576698,22.057670,0,,,,,,257.316717,,147.051132,,,0,,235.382000,,,,,,,,,,22.057670,112.935269,0,352.922717,117.640906,,,,0,23.356336,,,,,,213.224141,2155.722789,,,,,,,0,,,,,,220.143957,,,,403.697964,120.380377,,,286.749707,1426.395979,,,,,,,,,483.612000,801.428669,22.057670,0,13.303090,,51.467896,,,,0,,110.187445,36.957246,,,,581.794751,,4323.263268,,,13166,154.403688,3477.759269,197.575517,,0,169.108802,,,,,,,0
1933,,0,73.525566,,,,,,514.821493,10.433737,0,323.512490,279.325234,21.060691,,0,,0,60.474493,1948.427498,,,,0,0,14.382112,,220.576698,,0,117.824719,,,,382.332943,,,,,139.698575,272.020985,,0,,,,,,591.069704,,0,,563.659505,,0,7.352557,,551.441745,,,,,0,286.749707,,,,15.843823,,,,,,,,161.940268,,,,,4654.168325,,,,,,,,13.141922,3933.617778,,,198.835645,,,,,,,,,,,183.746633,,624.967311,73.525566,0,0,0,132.346019,3551.711673,,4786.514343,,,168.099093,,,,,,28.982602,,10.433737,29.410226,,,,,,39.409814,,,56.670059,7.352557,,0,,,,,,,,0,,0,,198.519028,20.587158,0,,,,,,360.275273,,176.279252,,,0,,222.414000,,,,,,,,,,29.394058,95.583236,0,411.743169,161.756245,,,,0,18.598057,,,,,,220.576698,1685.421907,,,,,,,0,,,,,,215.280419,,,,318.886508,117.659064,,,308.807377,1404.338310,,,,,,,,,402.653000,0,29.410226,0,10.433737,,44.115340,,,,0,36.762783,117.640906,28.985911,,,,446.813545,,4470.354410,,,10913,132.346019,2713.093384,154.960314,,0,110.288349,,,,,,,0
1934,,0,95.583236,,,,,,566.146858,13.610095,0,419.095726,308.807377,27.472228,,0,,0,78.884832,1896.959602,,,,0,0,14.796943,,323.512490,,0,117.464532,,,,551.467029,,,,,205.715503,235.281811,,73.525566,,,,,,634.376913,,0,,592.900410,,208.967398,7.352557,,772.018442,,,,,0,294.102264,,,,20.667181,,,,,,,,227.929254,,,,,4874.745023,,,,,,,,17.142737,6470.249804,,,249.986924,,,,,,,,,,,227.929254,,764.665886,110.309360,0,0,0,139.698575,4073.316354,,4661.689624,,,219.273747,,,,,,37.805818,,13.610095,,,,,,,51.407402,,,58.598102,14.705113,,0,,,,,,,,0,,0,,183.813915,14.705113,0,,,,,,397.038056,,0,,,0,,249.986924,,,,,,,,,,44.139302,95.583236,28.009739,720.550546,183.978475,,,,11.609300,24.490119,,,,,,316.159934,2195.071086,,,,,,,0,,,,,,221.636881,,,,335.174132,122.365358,,,433.855897,1360.222970,,,,,,,,,580.851971,0,22.057670,0,13.610095,,51.467896,,,,0,36.762783,169.108802,37.810135,,,,576.236487,,5279.135635,,,13375,102.935792,3529.227166,202.135109,,0,117.640906,,,,,,,0
1935,,0,64.384550,,,,,,720.739172,17.286347,0,558.794301,367.627830,34.892812,,0,,,100.192587,2198.414422,,,,0,0,17.410299,,367.383559,,0,102.935792,,,,551.441745,,,,,286.544299,375.004229,,73.525566,,,,,,751.825911,,0,,631.774279,,438.831536,7.352557,,757.313329,,,,,14.705113,382.332943,,,,26.249638,,,,,,,,271.761509,,,,,4404.098814,,,,,,,,21.773199,8808.362801,,,272.387219,,,,,,,,,,,279.397151,,889.659348,139.724171,0,0,0,183.813915,4220.367486,,5874.692719,,,278.502260,,,,,,48.017631,,17.286347,102.935792,,,,,,65.293168,,,69.009072,7.352557,,0,,,,,,,,249.986924,,0,,191.166471,14.705113,0,,,,,,360.275273,,124.883239,,,0,,264.692037,,,,,,,,,,58.820453,110.288349,7.352557,845.544008,213.224141,,,,24.379530,31.415882,,,,,,382.332943,2783.884307,,,,,,,0,,,,,,260.024185,,,,357.159435,144.316736,,,529.384075,1352.870413,,,,,,,,,742.608216,0,29.410226,0,17.286347,,51.467896,,,,0,36.762783,132.346019,48.023113,,,,723.516504,,6051.154078,,,13260,102.935792,4470.354410,256.734267,,22.044187,110.288349,,,,,,,0
1936,,7.352557,66.173009,,,,,,830.838895,22.644516,0,654.377537,367.627830,45.708376,,0,,,131.248821,2352.818110,,,,0,0,14.211881,,484.923594,,0,110.288349,,,,786.723556,,,,,249.804851,1029.357923,,102.800528,,,,,,581.461065,,0,,694.905885,,536.659863,7.352557,,793.891786,,,,,0,338.217603,,,,34.386117,,,,,,,,330.865047,,,,,4639.377402,,,,,,,,28.522137,11690.479264,,,279.397151,,,,,,,,,,,213.224141,0,977.890027,132.346019,0,0,0,154.403688,3823.767182,,6234.772533,,,364.828319,,,,,,62.901434,,22.644516,117.640906,,,,,,85.531790,,,55.994627,,,0,,,,,,,,286.797555,,0,,161.756245,14.705113,0,,,,,,404.390613,,154.403688,,,0,,301.454820,,,,,,,,,,73.525566,132.346019,7.352557,1051.338397,242.634368,,,,29.814437,41.437976,,,,,,374.980386,3642.866368,,,,,,,0,,,,,,213.095258,,,,392.800457,116.135113,,,757.313329,602.635591,,,,,,,,,794.076112,507.326405,58.820453,0,22.644516,,58.820453,,,,0,51.467896,139.698575,62.908616,,,,940.695989,,6698.233137,,,19523,110.288349,5845.282493,336.313002,,36.762783,147.051132,,,,,,,0
1937,,14.705113,66.173009,,,,,,1036.483281,21.120193,0,735.162317,426.550696,42.631500,,0,,,122.413759,3007.195647,,,,0,0,13.538577,,573.499414,,0,132.346019,,,,977.890027,,,,,316.159934,1051.479192,,124.829213,,,,,,616.409042,,0,,899.063537,,627.241060,7.624874,,676.435207,,,,,0,330.865047,,,,32.071404,,,,,,,,411.520846,,,,,4257.130269,,,,,,,,26.602159,12602.282004,,,286.749707,,,,,,,,,,,389.790338,0,1139.646272,0,0,0,0,161.756245,4360.066061,,6036.272672,,,340.269770,,,,,,58.667202,,21.120193,124.993462,,,,,,79.774187,,,54.001619,,,0,,,,,,,,345.570160,,0,,154.403688,14.705113,0,,,,,,441.153396,,176.461358,,,0,,323.411739,,,,,,,,,,80.844465,147.051132,7.877739,1286.697404,257.148434,,,,34.846726,38.534867,,,,,,455.858509,3398.669896,,,,,,,0,,,,,,203.856853,,,,508.025977,113.570147,,,838.191452,382.332943,,,,,,,,,874.954235,0,124.993462,0,21.120193,,73.525566,,,,0,58.820453,213.224141,58.673900,,,,880.253800,,7301.031558,,,20138,147.051132,5455.596994,313.673972,,44.115340,235.281811,,,,,,,0
1938,,0,0,,,,,,1242.860546,22.055145,0,360.322362,647.434749,44.518720,,0,,,127.832796,3051.452278,,,,0,0,15.208913,,617.986140,,0,176.665360,,,,874.954235,,,,,367.627830,22.057670,,139.698575,,,,,,979.616978,,0,,0,,0,15.164648,,639.672424,,,,,0,374.980386,,,,33.491147,,,,,,,,477.916179,,,,,0,,,,,,,,27.779789,15602.125095,,,308.409942,,,,,,,,,,110.288349,397.038056,,0,0,0,110.288349,0,95.583236,4609.677635,,5521.616454,,,355.332900,,,,,,61.264293,,22.055145,124.993462,,,,,,83.305646,,,62.703154,,,0,,,,,,,,375.037013,,0,,161.756245,24.263437,0,,,,,,455.858509,,220.576698,,,0,,330.980774,,,,,,,,,,102.888704,169.108802,22.057670,1720.603415,264.692037,,,,0,40.216410,,,,,,448.444446,3549.740574,,,,,,,0,,,,,,228.753952,,,,0,137.377454,,,874.954235,595.557084,,,,,,,,,992.595140,647.024980,124.993462,0,22.055145,,80.878123,,,,0,66.173009,264.901446,61.271287,,,,919.752609,,7896.710227,,,18279,154.403688,5698.231361,327.559753,,36.784797,264.692037,,,,,,,0
1939,,0,0,,,,,,1124.941159,22.060032,0,683.787763,742.179211,44.528582,,0,,0,127.861116,2551.337138,,,,0,0,14.062495,,698.923248,,0,176.647107,,,,911.752180,,,,,338.217603,536.736631,,169.108802,,,,,,944.990845,,0,,184.405309,,1135.740825,35.292272,,698.492877,,,,,14.755646,374.364655,,,29.410226,33.498567,,,,,,,,565.721503,,,,,0,,,,,,,,27.785943,13955.152417,,,345.570160,,,,,,,,,,110.288349,0,,0,169.087586,0,257.339481,0,110.288349,5110.026834,,5073.118568,,,355.411621,,,,,,61.277866,,22.060032,117.640906,,,,,,83.324102,,,58.167529,,,0,,,,,,,,411.743169,,0,,0,29.410226,0,,,,,,544.089188,,235.281811,,,0,,389.685500,,,,,,,,,,117.714615,0,0,0,294.102264,,,,63.096713,40.254283,,,,,,529.384075,3550.115921,,,,,,,0,,,,,,212.138086,,,,104.966535,127.925206,,,948.479801,1191.114168,,,,,,,,,1183.761612,0,117.640906,0,22.060032,,95.583236,,,,0,59.555708,286.749707,61.284862,,,,919.076081,,,,,21212,176.461358,5698.231361,327.632322,,88.230679,308.807377,,,,,,,0
1940,,0,0,,,,,,1081.075433,22.488944,0,705.756390,816.133782,45.394350,,0,,,130.347115,213.224141,,,,0,0,0,,742.608216,,0,0,,,,1198.507151,,,,,382.332943,654.349691,,191.166471,,,,,,0,,0,,140.731706,,0,23.160553,,441.153396,,,,,14.705113,360.275273,,,14.705113,34.149878,,,,,,,,301.454820,,,,,0,,,,,,,,28.326184,10742.145334,,,191.166471,,,,,,,,,,,0,0,0,0,0,272.044594,66.173009,147.051132,4801.219457,,4249.777712,,,362.321875,,,,,,62.469289,,22.488944,44.115340,,,,,,84.944169,,,0,,,0,,,,,,,,485.192146,,0,,0,29.410226,0,,,,,,0,,220.407023,,,0,,338.217603,,,,,,,,,,124.993462,0,22.057670,0,272.044594,,,,0,42.077679,,,,,,397.038056,3610.986288,,,,,,,0,,,,,,0,,,,80.125663,0,,,830.838895,1558.741998,,,,,,,,,698.492877,647.024980,44.115340,0,22.488944,,117.640906,,,,0,62.741816,264.869445,62.476421,,,,936.204611,,,,,22575,169.108802,5801.167153,334.002464,,88.230679,279.397151,,,,,,,0
1941,,14.705113,0,,,,,,1169.056499,22.519352,0,691.140320,845.155788,45.455730,,0,,,130.523364,632.319867,,,,0,0,,,764.665886,,0,0,,,,1330.812744,,,,,360.275273,1191.114168,,213.224141,,,,,,,154.403688,0,,198.984033,,1239.873228,44.115340,,419.095726,,,,,14.705113,419.095726,,,7.352557,34.196054,22.057670,,,,,,,308.807377,,,,,3404.233704,,,,,,,,28.364486,11345.057728,,,66.173009,,,,22.057670,,,,,,110.288349,669.082650,0,2124.888856,169.132198,0,294.102264,51.476954,117.640906,2794.210124,,5830.439224,,,362.811789,,,,,,62.553757,,22.519352,44.115340,,,,,,85.059027,,,,,,0,,,,,,,,536.736631,,,,0,29.410226,0,,,,,,463.165357,,220.415221,,,0,,316.159934,,,,,,,,,,169.108802,183.813915,22.057670,0,272.044594,,,,68.881846,43.173902,,,,,,617.514410,3607.725528,,,,,,,0,,,,,,,,,,113.236079,,,,874.954235,1639.620121,,,,,,,,,646.867438,712.803958,44.115340,213.322628,22.519352,,117.640906,,,,0,58.820453,272.222053,62.560898,,,,936.730476,,7257.029972,,,28387,176.461358,5801.167153,334.454086,,117.640906,301.454820,,,,,,,0
1942,,0,0,,,,,,1073.765047,,0,566.146858,683.787763,,,0,,,,507.356840,,,,0,0,,,749.492924,,0,0,,,,1448.494137,,,,,367.396034,1573.447111,,205.871585,,,,,,,169.108802,0,,213.538806,,1121.458369,66.173009,,433.800839,,,,,22.057670,419.095726,,,22.057670,,22.057670,,,,,,,176.461358,,,,,2499.869242,,,,,,,,,7286.383586,,,29.892361,,,,22.057670,,,,,,,727.903103,,2220.472092,0,0,198.622748,51.474283,220.576698,2242.333668,,4352.605609,,,,,,,,,,,,705.845433,,,,,,,,,,,,0,,,,,,,,588.090997,,,,0,22.057670,0,,,,,,367.627830,,220.418238,,,0,,375.277518,,,,,,,,,,191.166471,,22.670383,0,242.634368,,,,62.303243,,,,,,,367.627830,,,,,,,,0,,,,,,,,,,121.533885,,,,948.479801,1646.972677,,,,,,,,,823.486339,440.876811,110.288349,228.059425,,,,,,,0,58.820453,213.224141,,,,,,,7374.614265,,,31496,147.051132,,,,124.953819,176.461358,,,,,,,0
1943,,0,80.878123,,,,,,955.583702,,0,396.996486,772.018442,,,0,,,,463.211065,,,,0,0,110.992751,,749.536827,,0,0,,,,1161.673114,,,,,374.980386,1536.684328,,257.592270,,,,,,122.541804,169.108802,0,,232.947497,,1323.727014,66.173009,,639.672424,,,,,29.410226,323.512490,,,29.410226,,22.057670,,,,,,,235.500474,,,,,2926.403127,,,,,,,,,9073.103765,,,0,,,,22.057670,,,,,,,698.626126,0,2147.099890,0,0,249.986924,36.762783,169.108802,1712.264439,,3764.600535,,,,,,,,,,,,73.525566,,,,,,,,,82.210493,,,0,,,,,,,,580.740333,,0,,139.698575,31.672551,0,,,,,,360.275273,,227.929254,14.705113,,0,,308.807377,,,,,,,,,,205.986340,,22.057670,0,249.675995,,,,73.540390,,,,,,,455.858509,,,,,,,,0,,,,,,329.379705,,,,132.591970,92.987015,,,919.000529,1698.440573,,,,,,,,,926.207880,367.846136,73.525566,308.631418,,,66.173009,,,,0,23.754414,169.108802,,,,,,,7080.569038,,,22901,132.346019,,,,110.288349,124.993462,,,,,,,0
1944,,0,94.885548,,,,,,1080.825819,,0,441.153396,0,,,0,,,,602.842991,,,,0,0,0,,808.781225,,0,124.993462,,,,1139.676012,,,,,360.275273,1176.453101,,279.181400,,,,,,0,176.461358,0,,0,,947.499657,88.230679,,647.024980,,,,,36.661508,426.090224,,,36.762783,,,,,,,,,176.461358,,,,,1485.216432,,,,,,,,,0,,,0,,,,22.057670,,,,,,,154.403688,0,2073.565782,0,0,220.576698,36.766017,176.461358,1351.488523,,2963.002060,,,,,,,,,,,,132.346019,,,,,,,,,0,,,0,,,,,,,,610.262197,,0,,110.288349,27.572087,0,,,,,,213.224141,,227.929254,7.352557,,0,,323.269795,,,,,,,,,,250.128882,,29.410226,0,242.908531,,,,52.638870,,,,,,,323.591223,,,,,,,,0,,,,,,0,,,,0,0,,,1117.588602,1845.229636,,,,,,,,,1058.768150,426.448283,36.762783,242.634368,,,29.410226,,,,0,58.820453,286.749707,,,,,,,4632.149050,,,15542,191.166471,,,,117.640906,0,,,,,,,0
1945,,0,102.935792,,,,,,1088.178376,7.030471,0,705.845433,0,14.191136,,0,,,40.748984,647.024980,,,,0,0,2.775672,,772.018442,,0,242.634368,,,,1345.517857,,,,,411.743169,44.112130,,301.701510,,,,,,204.824082,220.576698,0,,0,,132.346019,75.123948,,220.576698,,,,,36.762783,433.800839,,,,10.675901,,,,,,,,277.809667,,,,,1573.447111,,,,,,,,8.855303,0,,,51.467896,,,,29.410226,,,,,,,36.779217,0,2176.356752,0,0,191.166471,22.057670,147.051132,1140.605570,,1169.056499,,,113.268701,,,,,,19.529086,,7.030471,147.051132,,,,,,26.555161,51.467896,,11.562228,0,,0,,,,,,,,742.608216,,0,,73.525566,34.136870,0,,,,,,227.929254,,235.435289,14.705113,,0,,139.698575,,,,,,,,,,264.537428,29.410226,29.410226,301.436245,264.692037,,,,7.352557,14.767939,,,,,,249.986924,1116.219531,,,,,,,0,,,,,,42.451417,,,,0,25.594324,,,1051.415593,1926.369828,,,,,,,,,1214.148627,411.743169,36.762783,0,7.030471,,,,,,0,58.820453,286.749707,19.531316,,,,291.526380,,4117.431693,,,17537,220.576698,1801.376366,104.415515,,117.613554,7.352557,,,,,,,66.173009
1946,,0,117.078030,,,,,,1139.646272,13.275265,0,735.255660,389.797414,26.796369,,0,0,,76.944144,1889.607045,,,,0,0,12.455245,,823.082273,,0,0,,,,1838.090498,,,,,580.851971,205.871585,,330.865047,,,,,,843.700034,264.692037,0,,607.181216,,147.051132,80.878123,,499.973848,,,,,36.762783,588.204528,,,,20.158736,,,,,,,,330.865047,,,,,2117.489350,,,,,,,,16.720999,2595.452478,,,102.935792,,,,29.410226,,,,,,,161.811152,0,1970.485167,0,0,301.454820,44.112656,264.692037,2021.953064,,926.422131,,,213.879277,,,,0,,36.875737,,13.275265,147.051132,,,,,,50.142701,73.525566,,51.584005,,,0,,,,,,,,735.360801,,0,,175.522734,27.572087,0,,,,,,404.390613,,227.929254,7.352557,,0,,433.800839,,,,0,,,,,,257.339481,58.820453,30.094185,1396.985753,323.512490,,,,7.408258,28.490008,,,,,,316.093625,2102.961774,,,,,,,0,,,,,,188.714422,,,,344.082554,113.428695,,,1176.409055,2146.946526,,,,,,,,,1463.158762,691.140320,44.115340,0,13.275265,,,,,,0,83.188926,323.512490,36.879947,,,,550.043381,,6683.473945,,,28102,272.044594,3396.881147,197.162276,,124.993462,36.762783,,,,,,,66.173009
1947,,0,124.993462,,,,,,1360.566287,18.788692,0,897.011905,279.397151,37.925322,,0,0,0,108.900255,2610.157591,,,,0,0,26.523450,,911.717018,,0,0,,,,1896.959602,,,,,602.909641,419.050013,,345.570160,,,,,,1570.022815,279.397151,0,,928.058157,,147.051132,116.333784,,632.319867,,,14.705113,,29.503592,647.024980,,,,28.530976,,,,,,,,419.095726,,,,,3852.816528,,,,,,,,23.665493,3073.368657,,,183.813915,,,,29.410226,,,,,,36.762783,205.926106,0,1470.603266,7.352557,0,293.980027,44.115340,330.865047,2756.659752,,1235.229508,,,302.706697,,,,0,,52.190810,,18.788692,169.108802,,,,,,70.967752,88.230679,,108.711431,7.352557,,0,,,,,,,,999.947697,,0,,219.609256,34.600266,0,,,,,,522.074403,,220.576698,14.705113,,0,,470.563622,,,,0,,,,,,257.339481,132.346019,36.762783,1521.979215,426.448283,,,,14.765380,41.175610,,,,,,419.095726,2969.669346,,,,,,,0,,,,,,398.171560,,,,524.896354,236.044857,,,1249.934621,2183.709309,,,,,,,,,1551.389442,955.832357,51.467896,191.166471,18.788692,,58.820453,,,,0,117.640906,352.749885,52.196768,,,,777.877489,,7073.103264,,,31995,279.397151,4801.219457,279.046863,,147.024849,36.953264,,,,,,,73.525566
